Category,Gage Park,Garfield Ridge,Grand Boulevard,Greater Grand Crossing,Hegewisch,Hermosa,Humboldt Park,Hyde Park,Irving Park,Jefferson Park
2001-2005,1397.208852,1338.665836,1906.81044,2987.036778,293.2821275,859.1255058,3223.279521,1527.123028,2021.288108,599.8187742
2002-2006,1326.335148,1257.572916,1891.357271,2946.981072,296.058589,819.6352023,3091.806912,1467.513738,1978.484114,603.5590377
2003-2007,1260.648928,1179.454254,1783.109366,2908.051132,294.4649692,792.264461,3023.500228,1385.735614,1885.359183,569.7952922
2004-2008,1220.340529,1101.053849,1676.52601,2816.905723,289.6795859,718.0204909,2901.848425,1274.943002,1826.764854,568.6085575
2005-2009,1207.619465,1018.107784,1613.674619,2688.676393,287.3347634,693.2703413,2805.962401,1150.161007,1816.945107,547.4479595
2006-2010,1196.689129,950.7412456,1527.695861,2615.278926,284.0433322,698.2065769,2777.840663,1073.135289,1830.257102,525.9292739
2007-2011,1187.843649,905.2043738,1431.119827,2538.862066,283.6843074,679.3351214,2753.306142,1039.136726,1827.059209,496.4012596
2008-2012,1181.171413,847.2368385,1367.741803,2479.985011,271.086515,668.670125,2752.590531,997.130839,1831.219849,516.5862676
2009-2013,1125.367624,791.1900313,1304.524411,2380.049262,263.8084136,658.5463307,2637.696051,972.9377926,1764.642504,497.805066
2010-2014,1059.519847,730.5663289,1192.35548,2233.536337,248.6029909,608.7510285,2431.562176,924.9141662,1623.342863,501.3826117
2011-2015,950.2936023,683.7432074,1121.702024,2065.467448,222.4863999,549.3042711,2219.296647,839.3223552,1481.473708,491.0009657
2012-2016,840.8584155,654.8779295,1060.2833,1890.591228,188.9350894,506.9037931,2078.660946,793.2990262,1348.574331,476.6214293
2013-2017,765.0682079,611.7278351,1023.463919,1735.232793,186.9235295,465.4445587,1908.467652,765.8835253,1245.650653,432.6502757
2014-2018,698.1074173,601.445466,972.2370645,1617.110732,177.3984894,417.5111794,1777.318528,759.4667176,1164.349101,409.080212
2015-2019,652.0204368,607.110371,956.8207562,1587.300722,163.9402898,386.4975225,1745.933022,764.252462,1134.780589,383.9233167
2016-2020,593.5503911,574.4606211,911.2069352,1519.605464,162.5473524,351.0073154,1701.397421,737.8422147,1040.45338,365.1234815
2017-2021,535.4600287,515.6316483,844.1492512,1433.53682,162.6783505,314.5221227,1545.822476,716.0620645,975.4559338,333.9459687
2018-2022,512.1906311,520.9566511,884.7055788,1484.969754,156.9498864,288.8307094,1464.33902,759.6783832,933.6581334,335.7544544
2019-2023,555.3586864217751,538.3112554718143,950.9157357572764,1604.8284981455763,169.46529171134583,314.21028640624223,1508.0555451390696,831.2898029408819,896.881381,347.3432581270749
2020-2024,580.9684513041868,561.0295336449315,1046.069196469535,1663.5710736923309,200.2865193388197,323.5879861033932,1527.526592777853,919.3033617869116,918.8623675981968,350.7327847371791
2021-2025,658.4936859093993,592.1155965585442,1125.0538949072263,1704.4291739353266,227.36447738577036,325.0194134907369,1536.1074884810373,1076.506690641459,941.4626526,337.1628632771276
