Category,Portage Park,Pullman,Riverdale,Rogers Park,Roseland,South Chicago,South Deering,South Lawndale,South Shore,Uptown
2001-2005,2189.136833,443.0730012,371.096998,2194.476361,2862.33941,2098.762827,732.453282,2403.74083,3901.145602,2121.622111
2002-2006,2063.124681,432.3420073,353.3992676,2117.638859,2838.030888,2192.387845,726.023787,2274.222329,3795.874091,2049.447808
2003-2007,1928.066222,441.8488825,334.2254512,2037.141902,2909.739624,2261.79997,726.603207,2191.600472,3708.408965,1960.190723
2004-2008,1846.416698,419.4743419,307.4780784,1936.633133,3017.549218,2229.809277,738.5535271,2112.324602,3702.972603,1920.897003
2005-2009,1785.225652,394.0300002,285.4991289,1799.510595,3054.014986,2141.12079,754.8407895,1963.091473,3628.423071,1807.825867
2006-2010,1722.256868,390.1356252,266.2372165,1741.011141,3071.518331,2121.979363,790.8616887,1873.332491,3589.429281,1716.730692
2007-2011,1717.042149,379.5008842,274.9516246,1654.248788,3116.640242,2056.05916,803.0230103,1844.632883,3595.492045,1665.991541
2008-2012,1741.849722,353.5745082,277.7248499,1553.091787,2997.566408,1948.562318,783.2471521,1784.837429,3583.56956,1679.029634
2009-2013,1656.073969,340.605931,282.191884,1475.779986,2780.355839,1854.830024,766.5960676,1689.292154,3436.155225,1597.853101
2010-2014,1547.837824,342.9048567,281.0131189,1392.71512,2554.829452,1736.755988,742.5174555,1651.309584,3256.05132,1508.602821
2011-2015,1465.375251,327.6642932,276.2426156,1285.710439,2302.812526,1595.135962,687.4867738,1537.100863,3022.567974,1404.333301
2012-2016,1344.758789,326.8804329,257.7467448,1213.540345,2025.290943,1413.660512,648.6050354,1424.401967,2657.615339,1320.066341
2013-2017,1248.7098,334.8526974,247.4698047,1230.07726,1864.748898,1274.432081,620.7249121,1350.704652,2400.814495,1201.134788
2014-2018,1180.432817,344.0496694,241.558736,1238.061733,1722.302512,1158.275547,585.6904785,1310.070947,2217.172171,1165.721062
2015-2019,1109.20171,333.8826367,239.3286946,1313.671842,1626.264215,1098.709213,562.3192816,1270.486127,2172.943104,1150.829384
2016-2020,1016.563184,317.7402826,231.7769314,1294.645424,1558.891548,1012.413091,533.8456307,1207.741647,2061.954434,1125.415843
2017-2021,929.5084365,295.1845566,227.3917595,1271.542373,1435.870872,941.7605684,495.0191127,1086.099317,1959.247944,1075.13163
2018-2022,881.5114183,276.0176154,238.4284236,1281.522356,1443.830896,970.5091158,490.3551271,993.6033353,2050.518238,1136.1904
2019-2023,939.2924294818864,261.5593515328538,249.4986743,1395.467342665283,1498.740256762646,983.0000699513192,520.8493402749285,978.3570958409754,2255.018346435581,1249.369392053068
2020-2024,1031.4743854728054,280.2856608,254.18165961948745,1441.8480857869097,1527.9130178233431,1018.0236530535452,534.5225151880402,967.6529394011646,2309.922105608278,1396.6545024577863
2021-2025,1120.6453628822842,307.43693985993536,263.73464531350004,1517.188844,1556.633623659303,1070.9648658340325,576.8764359781832,986.797551,2384.0899505826587,1526.5109998835812
