Category,Lake View,Lincoln Park,Lincoln Square,Logan Square,Loop,Lower West Side,McKinley Park,Montclare,Morgan Park,Mount Greenwood
2009,1472,950,416,690,798,115,79,115,213,154
2010,1494,1054,410,676,725,99,94,122,211,150
2011,1383,960,424,698,721,113,88,124,164,146
2012,1869,1387,493,861,969,131,85,142,155,147
2013,2411,1762,593,1154,949,188,114,180,230,227
2014,2298,1732,536,1105,876,210,106,146,220,239
2015,2399,1730,594,1162,889,197,106,165,269,236
2016,2522,1934,606,1231,986,233,129,143,292,301
2017,2831,1859,734,1316,966,261,125,163,324,292
2018,2530,1849,636,1128,1179,227,127,166,366,295
2019,2158,1534,540,1154,949,235,127,140,370,291
2020,2053,1423,499,1078,545,174,85,116,300,294
2021,3320,2345,779,1591,1320,254,167,175,388,365
2022,2567,1903,622,1180,1007,185,112,119,348,315
2023,1834,1224,418,785,797,155,96,87,280,247
