Category,Irving Park,Jefferson Park,Kenwood,Lake View,Lincoln Park,Lincoln Square,Logan Square,Loop,Lower West Side
2006-2010,84280.88762345006,88843.63038168504,61953.323614995395,115618.5403,126805.70873491486,87331.07142086801,79993.96341103785,115279.66797750775,53973.71455810826
2007-2011,80476.69792175347,83599.65245169669,58751.55181490772,113235.99430595788,126277.42414196374,85123.82855353228,79261.07874369189,112059.58668518659,55372.06618000345
2008-2012,77129.82793117828,82885.77504236567,58036.329532707154,112468.91412315225,125932.98386951929,81686.68746812199,84982.67183862044,109535.66103560539,48948.628426770636
2009-2013,72097.29185,81735.05591,56525.957344549846,112417.51233003053,125627.55875532719,81714.43975,83903.43052417084,120629.02370804177,50258.88207759694
2010-2014,69540.53773720769,89477.32834914996,59539.75983255075,113244.89615443701,127758.1061292121,84269.76415311142,84306.22009434919,128005.44926386759,46956.98548975617
2011-2015,73585.46843,82193.65484167576,60948.102276157224,115925.53085065779,134329.5537191459,86422.35610682101,90451.84236988341,133445.9054705741,49666.24074441128
2012-2016,82514.02268292998,84758.01159705805,62779.30175692213,119169.09149757482,135045.29259111753,91604.98988949771,93276.19192704401,138845.6465152503,53646.981697730196
2013-2017,84108.63172047702,93864.88387360738,70004.34965801994,123471.76199402992,138928.26342522586,98684.67392398967,98545.38128815102,142058.79672718156,57689.43019496673
2014-2018,89170.53663,96413.49299417525,68551.66520954494,126600.83038360102,146376.77345823936,97720.06046494683,103339.80759128324,147339.53121568664,59526.55871004504
2015-2019,92002.96738251418,95036.32980827021,68247.03779498857,131081.7007084366,154709.6627396529,104599.22068440585,108618.74234715369,143570.39573294483,63092.76176517144
2016-2020,89741.37355334329,94918.83520632914,61723.52783280638,128222.73361639521,170406.85398182875,96744.10966718351,108765.26103147266,142062.39947151547,72595.78335864462
2017-2021,92193.72814610694,97996.39629111552,59616.396757309856,127457.28109598097,175003.80856777835,97597.15036,110737.02557725181,138235.7833760173,72806.57211359544
2018-2022,94504.61557,98311.27523808548,62185.12568,121608.81889786098,168034.94977099865,94078.17673,108585.72451253839,131231.23789452307,77134.75475275231
2019-2023,92251.13160131204,98806.81240018187,65861.43208936087,120428.2078110361,161747.07352225512,93477.53281,111706.92720298594,123142.33146902245,75827.70372317817
2020-2024,93122.02124928293,97374.54676004623,73799.33922476385,121377.33495574856,156895.9240216817,91363.09353886107,111832.89554093764,119221.58409685314,76947.75654793243
