Category,Belmont Cragin,Beverly,Bridgeport,Brighton Park,Burnside,Calumet Heights,Chatham,Chicago Lawn,Clearing
2006-2010,80249.62817,21580.00455,31560.39783,44391.52198,3412.874623,14937.41564,35197.53112,53980.43925,24108.15093
2007-2011,79387.89049,21331.96615,32164.8236,44784.51275,3355.152522,14843.79407,34211.85472,54678.16497,23895.89396
2008-2012,77931.65122,21246.75746,32394.83507,44330.87224,3488.284401,14366.56577,33409.82223,54668.10673,22761.86772
2009-2013,78327.83491,21779.65826,32614.40476,43740.43185,2821.74098,13838.30204,32070.12345,55468.32066,23445.1573
2010-2014,79116.53167,21025.10914,31907.00471,44297.70906,2604.224191,13384.58335,31663.78633,56160.942,24499.96744
2011-2015,79250.6307,20845.49775,33897.34175,44367.48987,2587.231719,13716.07638,31519.65592,55406.42217,25009.56755
2012-2016,78199.18228,20867.4978,32802.41569,44416.51738,2429.676405,13289.91705,31108.31605,54118.83742,25248.4313
2013-2017,79996.03319,20855.50014,33638.3145,45004.97148,2242.710061,13171.75266,31237.6856,52957.48924,25936.32464
2014-2018,80741.1646,20470.04394,33832.5109,45227.64278,2323.971864,12940.39552,30810.32836,51850.10169,25777.41724
2015-2019,78649.24767,19826.53254,34483.9015,44347.37761,1996.719897,12798.74046,31122.17415,51182.39342,25018.2294
2016-2020,78828.95679,19857.91484,32761.07252,42913.99837,2169.354809,12340.41396,31490.2176,51112.37589,24422.49503
2017-2021,78655.94811,19958.31044,34277.77211,43381.96575,2638.569289,12840.57929,32620.94177,51037.04838,25544.54044
2018-2022,74038.91413,19818.71499,33086.6452,42395.13001,2234.806951,12084.91299,31465.45143,52333.09795,24768.08184
2019-2023,72957.32746,19603.2515,33001.93342,42213.42486,2137.421908,11643.03536,30874.668,53332.72323,24962.26324
2020-2024,72131.65463,19553.60888,33542.92299,43145.7122,2292.961299,11227.30847,30021.41506,54300.34536,23667.36789
