Category,Near North Side,Near South Side,Near West Side,New City,North Center,North Lawndale,North Park,Norwood Park,O'Hare,Oakland
2001-2005,1151.449105735148,374.9505176394227,1495.4835586041997,1316.845861112144,160.40055700302875,2779.9197739649367,78.78748854749722,50.623210410234904,58.72827958549615,145.95695401868062
2002-2006,1068.2670780607305,387.15619609004864,1364.5112321321228,1356.0576382558088,147.02026185091816,2955.083573775762,80.61428699,48.01645535325928,59.985874147954455,120.37579137718235
2003-2007,977.3962386439127,374.79883197172967,1241.3723118142468,1359.6414004612361,138.24863116057807,2965.053596978859,88.38447646981912,47.72831595,51.626484386617136,110.22396288998758
2004-2008,923.0444132,431.76647620702164,1006.7656270049765,1299.6227919243238,123.08311747227398,2875.032181,84.54450111844166,46.84179764,44.54374824003297,135.0045556709778
2005-2009,841.3439102572222,421.4667934180952,856.6657743613202,1255.5083317379244,105.31912822180216,2564.254016770819,82.56860372265014,49.82115752035798,39.02940600348341,131.41226037375958
2006-2010,707.5341324446745,345.8313344377337,689.9485409891205,1246.5807932169037,88.75806935920735,2348.5249895840025,75.31991020806248,46.023539,44.11795651838277,118.24530952565581
2007-2011,594.2167645407616,252.69957854977127,586.4515735,1199.976743041491,76.39353536642962,2104.0855019027977,65.92151781046405,44.23821754035593,50.07354560125903,114.05678962903906
2008-2012,485.8237222001875,194.3190727102041,509.6242066962206,1122.1301400451234,69.79544390330564,2063.8274043526267,56.96793240557329,44.60796140705059,60.48137996503634,90.05993055
2009-2013,412.58113461613743,89.97095816370185,476.04155216438164,1046.752066849299,62.200476279223565,2161.9852475315292,47.84622305238814,44.85746907784337,69.77697354661902,62.47961036
2010-2014,324.6601619943633,54.37727623486253,431.35530678561634,926.6688977,52.00446770872993,2180.351454,43.83779841822428,41.19622620915256,75.97922315185922,50.47344079183195
2011-2015,264.06413695323414,36.44790965004557,385.21162824537333,779.6398294333609,43.00146054991575,2023.5740223945452,38.273144857560645,43.873762618166765,68.6034479,40.05406681367141
2012-2016,207.76290156397994,33.28148767155559,324.07614947684215,597.9380341912488,37.776185391326905,1878.6643791209056,35.65641617,43.06809739438093,84.81259113880967,29.035352065455058
2013-2017,178.79462063913132,28.009739835787546,273.4318374,447.72738687124917,28.368150074854945,1764.0946386688836,30.237876160962173,38.387685780147514,89.41818607044274,22.216269857414144
2014-2018,160.11704298039194,24.927002196813493,221.92679546589764,329.0863542950297,23.96018020547723,1647.2463817356295,25.669137804054593,30.995934379656077,85.76297316304007,10.610774658790497
2015-2019,151.08613946490317,24.240847597251726,206.14911042294082,284.6714285462482,21.35942814594256,1680.445850047813,20.68883021038343,22.682485086468212,93.25945054970266,8.408469786530757
2016-2020,121.95127138706289,24.33407364648734,170.29928298585477,215.10525467203541,16.96814455590969,1533.4404693201843,15.125892568200491,14.897004471013947,103.51911915496031,5.8077838337211105
2017-2021,111.00286163135912,21.92620685760179,144.28117571705806,169.02638186618685,12.387325405362498,1362.3268902567413,9.758394734694278,11.21706182062419,76.01475574177839,4.608612569491967
2018-2022,107.61100378452622,23.107544078522103,134.3303009,132.11214731937366,10.00053945861686,1118.9615585966633,8.179293859458545,9.104584708044722,55.79942045704666,5.008178628
2019-2023,116.84524197004868,24.783588409008065,122.36191323182034,107.01752926267702,9.404658174675658,811.5506617510733,8.580231828,8.099157251094457,48.60522659718959,5.606298677369831
2020-2024,114.46403316225827,31.53330059006205,116.3342612774922,62.24988409238728,7.407655939265116,482.5305556947657,9.973894137979864,7.505790345107123,31.552929690321957,4.403284919685503
2021-2025,117.88204828387268,41.34206831953277,125.43655563790624,53.266958641386026,9.1982678,540.3313817,11.94825006559281,9.017990589172369,17.170981899453874,4.005856999502864
