Category,South Chicago,South Deering,South Lawndale,South Shore,Uptown
2006-2010,73.98102963,69.51656395,42.3127606,85.29479627,88.75050379
2007-2011,75.14978194,70.69316205,46.88002832,84.82075895,89.99695119
2008-2012,74.20837313,72.43242923,46.37711656,85.8530362,89.46982449
2009-2013,75.68873606,71.15843629,45.19788852,85.68225222,90.31047811
2010-2014,76.31632586,73.60025216,47.55468765,85.51160543,90.23152034
2011-2015,77.90454409,70.8917202,49.508446,86.70833463,90.25992311
2012-2016,80.30025823,72.58649068,48.98173915,88.25425515,90.16532361
2013-2017,82.01114131,73.27021863,50.75743715,89.0459228,91.36580315
2014-2018,81.75727119,75.6109787,52.99662006,90.22454513,91.12188698
2015-2019,82.77919825,75.2108216,56.32899641,91.15998026,91.56622203
2016-2020,81.66413025,80.54202531,59.18562398,89.68144491,90.03648846
2017-2021,79.60934812,80.92139877,61.7647545,90.0676817,90.58417624
2018-2022,82.37228828,82.51625186,62.86338952,88.75581621,90.48025491
2019-2023,80.79245757,80.52718993,64.5118345,88.78409224,91.48107479
2020-2024,81.63828221,83.75795265,64.87462733,88.13507371,92.30494048
