Category,Gage Park,Garfield Ridge,Grand Boulevard,Greater Grand Crossing,Hegewisch,Hermosa,Humboldt Park,Hyde Park
2006-2010,56061.186289530175,84845.01976565797,48220.10893902869,41115.57135553405,70751.35806443657,62058.12855298138,40199.189922180325,69929.97703507819
2007-2011,56727.850725309865,83570.78641,46090.20250146971,41237.865177887106,68024.68664574785,57760.503436193874,38208.26497533651,76929.00638605986
2008-2012,51218.14348634545,81299.94273999543,47129.712517191525,39641.17226033447,64797.50694937711,57367.451102102365,40587.102104971586,82454.43312460856
2009-2013,48800.01719851458,79845.09218,43616.43007,37934.921522936726,68125.50484,52429.91900978515,40573.98019543312,83202.89069734688
2010-2014,49126.11253310481,80172.44413269266,41981.72263734514,36046.594504282395,67548.30750537643,49752.24351869243,42152.295728419114,83193.25151900908
2011-2015,50114.638012923526,80257.64776,40474.98046721294,36031.18164401717,68286.88518926947,53131.05248801385,41403.795466179596,78783.36320936146
2012-2016,51437.81583984583,83896.10909844287,41102.27673,36285.640086420375,77811.49378033185,51753.718521344694,45044.063628367265,75365.38666
2013-2017,52115.701978786106,86652.75158897195,44954.32499076215,36158.26463531808,70465.10997456188,50685.31335435904,45214.44615055486,75805.02169723735
2014-2018,51882.06819509531,90661.9037,45530.878890653934,34643.20376785206,64279.036038614555,53242.55191926135,47127.86063208021,89151.77544031852
2015-2019,52916.48046492899,92769.60852924679,47270.63546109005,35970.58703750365,67319.97711802357,58405.376307941595,48157.54487,77592.43593576628
2016-2020,51494.28077724574,97973.97163745265,49821.99185144397,39690.747512831695,67248.73508545343,68114.96667,53089.18741664141,69938.10410527568
2017-2021,52035.819082256494,97483.76585231596,50690.69318,40126.34295782711,68618.45066770879,69950.85900350711,55397.20411898443,82350.86646
2018-2022,52993.58613416292,96078.82467871187,49701.52181,46059.097899378874,74557.19946804516,69116.08328,54496.37828190858,76643.03068361728
2019-2023,58908.42811913581,93246.89079030402,57235.97461915806,45198.568801488684,59940.63181624932,68907.94763892585,56577.087594962126,73093.30595943105
2020-2024,62322.79043974873,93530.69639,58522.89942984056,42358.17755582547,61745.599215031776,70459.88115335886,58409.067092820536,77008.65152391497
