Category,McKinley Park,Montclare,Morgan Park,Mount Greenwood,Near North Side,Near South Side,Near West Side,New City,North Center,North Lawndale,North Park,Norwood Park
2006-2010,15647.57973,13113.44529,22213.70357,18503.21199,70014.10194,14607.18982,49893.37818,43564.63391,33449.98215,35139.24642,18853.20674,38270.67556
2007-2011,15980.72829,13326.30824,22229.68536,18359.13406,71898.81277,15436.64171,52014.17303,42225.01426,33578.83261,35847.44822,17929.46146,38000.31863
2008-2012,16448.0149,12442.05532,23208.90921,18482.24094,73196.01952,16427.39366,54286.23042,42075.70274,33480.83423,36080.68151,18718.37155,37904.40934
2009-2013,16550.7576,12325.1656,24099.78387,18404.80497,75564.87091,17064.41472,56016.74178,41714.50847,34594.99509,36180.72649,19201.04568,37723.80159
2010-2014,16457.87389,12881.82266,23748.06962,18365.18784,76519.45994,17765.41855,59030.0003,41557.95563,34877.43823,35638.34347,18043.31517,37233.67549
2011-2015,16342.7381,13014.08902,23463.2763,18790.92864,77723.29226,18052.28228,61902.80923,41036.15152,34689.0367,35295.40914,18423.24529,36831.71843
2012-2016,16071.18856,13034.14003,23544.30572,19035.42114,78286.98419,18635.56401,62685.38813,41126.20539,35006.62503,35437.38429,18728.70517,36742.12603
2013-2017,15773.78953,13824.26975,22899.81099,19283.21551,80742.30638,18986.56269,62996.70569,39594.65423,35853.08509,35958.68428,18823.89033,37676.31509
2014-2018,15927.25101,13851.24733,22225.16384,19348.88965,81566.7157,19484.53868,62849.54812,39499.66308,35767.84226,33869.15658,18434.723,37905.75011
2015-2019,15188.12425,14305.19501,21594.81594,19196.88304,84576.02433,19810.00614,63280.09464,39458.48823,35603.0292,32086.48003,18896.62848,38676.02969
2016-2020,15251.26492,14391.69046,21108.88556,18846.42865,88340.84231,24733.67424,62766.15678,38874.41675,36180.71259,31334.25254,18763.5523,41327.33263
2017-2021,15562.04762,13784.93971,22206.99362,19482.82206,91511.84844,25337.88129,64955.35572,39381.08136,37131.56636,32133.17847,18794.08144,42501.96541
2018-2022,15482.97313,13774.39226,21296.61184,19126.98616,94216.0707,26593.84752,65493.57148,40855.02623,35850.4826,30434.74385,19328.71881,42570.86987
2019-2023,15440.88012,14094.39822,21832.45501,18557.83777,97384.96651,27534.5086,65999.40409,41661.50871,35443.73011,31267.85858,18678.7628,41791.25902
2020-2024,14856.23139,14290.31083,21410.01294,19064.08435,99292.48607,28903.9369,68097.6475,39952.20609,36047.30897,33979.92102,18307.61022,42638.43086
