Category,Washington Heights,Washington Park,West Elsdon,West Englewood,West Garfield Park,West Lawn,West Pullman,West Ridge,West Town,Woodlawn
2006-2010,18.66247695,19.87579075,13.52632516,32.93519673,25.60307044,7.560136904,16.7544251,7.514038285,7.226260107,15.91587905
2007-2011,19.70223808,23.0444957,16.66245051,35.04670472,25.81164216,9.623805909,18.50660987,8.902620309,7.989300791,19.35056269
2008-2012,21.47593418,24.93439151,16.64514928,35.5450708,26.16291826,9.602602166,19.67709956,8.398921105,8.523092769,21.52140399
2009-2013,23.14869535,27.08585378,16.76359715,36.8131066,27.92483338,11.5495943,23.41204488,9.767855394,8.097253363,22.17148247
2010-2014,23.44861706,26.12746952,13.45120917,36.48649022,20.45100656,13.00922921,25.55716042,9.795732772,7.85239964,20.09340289
2011-2015,19.9263667,28.33782811,14.92625758,34.18209492,18.26278059,13.49779099,26.40285664,9.061179687,6.686209709,20.49627245
2012-2016,18.42690292,24.14980374,12.41090252,33.10467564,18.65676905,12.87302923,25.31328149,9.2774555,5.385399792,16.6217485
2013-2017,17.86109133,23.1421214,11.66885192,31.12585774,19.8248913,12.52684742,24.72418476,8.517504298,4.802143652,15.18537485
2014-2018,17.87982862,20.52718931,10.92509219,29.21128446,17.78405988,11.97434498,22.96170445,7.747410765,3.909432136,16.49080203
2015-2019,15.67818077,21.92982413,11.05250712,27.01935316,20.28866927,10.87466091,17.13495311,7.198650177,3.51827167,17.7055021
2016-2020,14.69664243,18.69145003,9.598484979,24.63861203,23.91941134,10.5659447,20.385339,6.534236706,3.463637044,17.00023183
2017-2021,14.77655496,20.84431992,10.28330786,23.31924678,22.69751365,10.3934167,19.40199683,6.662869942,3.498309222,18.51406061
2018-2022,12.60525426,15.83214044,10.35769965,21.79313401,20.72445422,11.44118812,18.65481109,6.535238126,3.514941567,16.14081923
2019-2023,10.85445385,17.55092902,7.605783478,20.31432384,23.25294437,7.876475425,19.02613933,7.38485511,3.528844434,15.61132428
2020-2024,12.22608508,16.98125777,6.683092348,17.60733811,19.42871376,8.120042743,18.76254188,7.471077159,3.909625635,12.84490984
